plot.code,block,fragment,north,east,elevation,forestloss17,forestloss562,roaddensprim,roaddenssec,roaddistprim,roaddistsec,riverdist,pH,humus,soilN,soilP,bulkdens,soilmoist,soilPC1,soilPC2,ntaxa,FDisLOG,nriLOG,FRicLOG,FDisLOGr,FDisLOGe,woody,treesapling,nriLOGWoody,nriLOGSapling,nriLOGnonWoody
a100f177r,a,a100,571656,520360,391,5,28.64,1.11,3.72,504.8,133.4,939,6.3,0,1.65,7.7,1.05,1.03,0.97,0.79,11,0.937,0.813,0.386,1.205,-3.009,0.82,0.55,0.802,0.185,0.538
a100f562r,a,a100,571855,520035,394,6.86,31.71,1.29,3.55,547.6,11.9,950,6,0,1.06,9.49,1.26,1.02,2.82,0.64,7,-0.26,0.623,0.387,0.12,0.361,0.57,0.14,2.155,0,-1.343
a100f56r,a,a100,571601,520447,351,0,27.4,1.11,3.66,499.7,161.1,901,6,0,2.12,10.16,0.97,1.03,0.9,0.12,13,1.134,0.49,0.538,1.591,-3.013,0.85,0.31,-0.468,-0.475,0.156
a100f5r,a,a100,571576,520490,336,22.47,25.49,1.11,3.65,497.8,115.3,890,6,0,2.21,6.94,1.13,1.03,1.02,-0.04,11,0.249,0.71,0.635,0.31,-2.763,0.73,0.64,1.181,1.176,-0.358
a100m177r,a,a100,571452,520639,304,0,21.81,1.11,3.53,473.8,33.8,767,6.2,0,0.95,7.62,0.91,1.02,1.64,1.98,5,0.386,-0.156,0.051,0.55,0.317,0.6,0.4,0.014,-0.172,-0.337
a100m17r,a,a100,571586,520524,335,0,24.02,1.11,3.66,467.5,83.3,901,6,0,2.7,6.53,1.28,1.02,1.42,-0.45,13,-0.543,-1.185,0.507,-0.972,-3.015,0.31,0.15,-0.277,-0.564,-1.234
a100m562r,a,a100,571217,520937,242,20.23,15.74,0.67,3.42,562.1,173.1,325,6.2,0,2.89,10.21,1.08,1.04,0.25,-0.61,22,0.52,0.711,0.487,0.517,-3.015,0.77,0.5,-0.887,-1.841,-0.199
a100m56r,a,a100,571489,520526,309,7.47,25.9,1.11,3.6,440.9,32.6,813,6,1.2,2.39,7.79,1.1,1.03,0.15,-0.25,9,1.122,-0.204,0.263,0.608,-2.999,0.78,0.33,-0.561,-1.229,-1.422
a100m5r,a,a100,571538,520498,333,0,25.69,1.11,3.64,522,102.8,851,6,0.9,2.63,8.81,1.23,1.02,0.73,-0.62,14,0.097,0.45,0.417,0.453,-3.01,0.71,0.43,0.686,1.129,0.005
a10f177r,a,a10,572048,521206,358,5.62,8.23,1.21,3.16,1293.7,24.7,858,6,0,2.62,7.21,1.29,1.03,1.35,-0.64,14,-1.183,-1.275,0.579,-1.313,-2.965,0.33,0.13,-0.16,0.58,-1.14
a10f56r,a,a10,572013,521339,412,11.71,5.92,1.04,2.99,1361.9,99.6,775,6.2,0.6,3.17,10.78,1.24,1.02,0.56,-0.87,9,0.071,0.015,0.251,0.207,-1.624,0.67,0.56,-0.398,-0.699,-0.352
a10m177r,a,a10,572028,521580,518,0,5.67,1.13,2.87,1551.2,110.1,724,5.4,0,3.36,2.92,0.94,1.06,-1,-0.89,13,1.56,0.46,0.78,1.675,-3.013,1,0.62,-0.471,-1.059,na
a10m17r,a,a10,572035,521412,443,0,5.3,1.11,2.92,1430,166.6,771,5.8,0,2.29,9.77,1.1,1.02,1.53,-0.29,6,-0.193,0.304,0.448,0.288,-2.99,0.83,0.5,0.094,-1.204,na
a10m562r,a,a10,572060,521957,585,7.68,10.56,1.02,2.56,1603.1,63.1,805,6.6,0,2.22,8.8,1.14,1.03,0.76,0.43,21,0.388,0.299,0.548,0.678,-3.015,0.81,0.57,-0.812,-1.455,-0.336
