species.code,family,genus,species,species.name,tree,woody,origin,pgf,height,sla,wood.dens,dispersal,fruit,seed,reproduction,lifehistory,pollination
acaunk,Acanthaceae,Unknown,sp.,Unknown sp.,no,no,n,E,na,207.18,na,L,U,4,s,p,h
act231,Lauraceae,Actinodaphne,sp. TFD231,Actinodaphne sp. TFD231,yes,yes,n,F,na,153.36,0.51,J,W,1,s,p,na
actglo,Lauraceae,Actinodaphne,glomerata,Actinodaphne glomerata,yes,yes,n,F,24,153.36,0.41,M,W,1,s,p,na
adecor,Passifloraceae,Adenia,cordifolia,Adenia cordifolia,no,yes,n,G,na,177.1,na,J,S,na,s,p,h
adisar1,Pentaphyllacaceae,Adinandra,cf. sarosanthera,Adinandra cf. sarosanthera,yes,yes,n,F,na,175.22,0.53,J,S,4,s,p,na
aestri1,Gesneriaceae,Aeschynanthus,cf. tricolor,Aeschynanthus cf. tricolor,no,no,n,D,na,206.25,na,N,S,4,s,p,na
age044,Connaraceae,Agelaea,sp. TFD044,Agelaea sp. TFD044,no,yes,n,G,na,172.81,na,N,X,1,s,p,d
agebor,Connaraceae,Agelaea,borneensis,Agelaea borneensis,no,yes,n,G,na,172.25,na,N,X,1,s,p,d
agecon,Compositae,Ageratum,conyzoides,Ageratum conyzoides,no,no,e,C,1,884.32,na,Q,R,1,s,ap,h
agetri,Connaraceae,Agelaea,trinervis,Agelaea trinervis,no,yes,n,G,na,141.55,na,N,X,1,s,p,d
agl115,Meliaceae,Aglaia,sp. TFD115,Aglaia sp. TFD115,yes,yes,n,F,na,167.39,0.67,J,S,2,s,p,i
agl251,Araceae,Aglaonema,sp. TFD251,Schismatoglottis sp. TFD027,no,no,n,C,na,223.2,na,J,S,1,s,p,j
aglarg,Meliaceae,Aglaia,argentea,Aglaia argentea,yes,yes,n,F,30,167.39,0.63,O,S,2,s,p,i
aglbec,Meliaceae,Aglaia,beccarii,Aglaia beccarii,yes,yes,n,F,25,167.39,0.67,J,S,2,s,p,i
